year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
1997,12,-0.00389057,-0.08456,-0,-0.00389057,0.00310581,-0.00699638
1998,1,0,0,0,0,0,0
1998,2,0.0224091,-0.19164,0.0224091,0,0.02265195,-0.00024285
1998,3,-0.00233515,-0.13567,-0,-0.00233515,0.00693652,-0.00927167
1998,4,0,0,0,0,0,0
1998,5,-0.01980328,-0.12953,-0,-0.01980328,-0.00216431,-0.01763897
1998,6,0,0,0,0,0,0
1998,7,0.00693117,0.02716,0,0.00693117,0.00184321,0.00508796
1998,8,0.00753114,0.04839,0,0.00753114,0.00087505,0.00665609
1998,9,0.03604847,-0.6975,0.03604847,0,0.05968863,-0.02364016
1998,10,-0.27233783,2.09497,-0.27233783,-0,-0.26130963,-0.0110282
1998,11,-0.03001675,0.63962,-0.03001675,-0,-0.05321537,0.02319862
1998,12,-0.00870071,-0.1237,-0,-0.00870071,0.00303873,-0.01173944
1999,1,0,0,0,0,0,0
1999,2,0.00996554,0.17015,0,0.00996554,-0.00518095,0.01514649
1999,3,-0.01777514,-0.16838,-0,-0.01777514,0.00117042,-0.01894556
1999,4,0,0,0,0,0,0
1999,5,0.10669932,-1.38561,0.10669932,0,0.13611754,-0.02941822
1999,6,-0.0791662,1.60132,-0.0791662,-0,-0.13523618,0.05606998
1999,7,0,0,0,0,0,0
1999,8,0.00988572,0.59237,0,0.00988572,-0.03044171,0.04032743
1999,9,0,0,0,0,0,0
1999,10,0.06688468,-0.81193,0.06688468,0,0.08194208,-0.0150574
1999,11,0.0792346,-0.32364,0.0792346,0,0.05894958,0.02028502
1999,12,0.0246451,0.48527,0,0.0246451,-0.01666452,0.04130962
2000,1,0,0,0,0,0,0
2000,2,-0.00596319,-0.3357,-0,-0.00596319,0.01707107,-0.02303426
2000,3,-0.00839795,-0.03942,-0,-0.00839795,-0.00184426,-0.00655369
2000,4,0,0,0,0,0,0
2000,5,0.05945509,-0.64349,0.05945509,0,0.06816571,-0.00871062
2000,6,-0.02428757,0.26977,-0.02428757,-0,-0.0282582,0.00397063
2000,7,0,0,0,0,0,0
2000,8,0.04611881,-0.15955,0.04611881,0,0.03258995,0.01352886
2000,9,0,0,0,0,0,0
2000,10,0.03715226,-0.22039,0.03715226,0,0.03174088,0.00541138
2000,11,0.00398539,-0.6872,0.00398539,0,0.04304183,-0.03905644
2000,12,0.02084936,-0.56081,0.02084936,0,0.04392405,-0.02307469
2001,1,-0.19854925,3.99301,-0.18770114,-0.01084811,-0.33779266,0.13924341
2001,2,0,0,0,0,0,0
2001,3,-0.04561626,-0.60045,-0,-0.04561626,0.01305909,-0.05867535
2001,4,-0.41796256,2.32456,-0.41796256,-0,-0.3478363,-0.07012626
2001,5,-0.15185913,0.37291,-0.15185913,-0,-0.09820493,-0.0536542
2001,6,0.07543566,-0.52379,0.07543566,0,0.06900585,0.00642981
2001,7,0,0,0,0,0,0
2001,8,-0.01969784,-0.6934,-0,-0.01969784,0.03157056,-0.0512684
2001,9,0,0,0,0,0,0
2001,10,-0.06322845,-0.35196,-0,-0.06322845,-0.01059028,-0.05263817
2001,11,-0.18189999,0.6426,-0.18189999,-0,-0.129335,-0.05256499
2001,12,-0.07419895,0.26526,-0.07419895,-0,-0.05294449,-0.02125446
2002,1,0.03208695,-0.03735,0.03208695,0,0.01827454,0.01381241
2002,2,0,0,0,0,0,0
2002,3,-0.05763962,-0.33914,-0,-0.05763962,-0.00856166,-0.04907796
2002,4,0,0,0,0,0,0
2002,5,-0.03568398,-0.29932,-0,-0.03568398,3.756e-05,-0.03572154
2002,6,0.00603828,-0.48238,0.00603828,0,0.03183358,-0.0257953
2002,7,0,0,0,0,0,0
