start,description,FF1,FF2,FF3,FF4,MP1,ED1,ED2,ED3,ED4,TFUT02,TFUT05,TFUT10,TFUT30,SP500,SP500FUT,EUR
1989-02-14 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,0.02,0.03,0.03,0.03,0.03,NaN,0.01569,0.00488,0.00726,-0.01022,-0.15243,NaN
1989-02-23 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.07,0.07,0.06,0.08,NaN,0.01583,0,-0.00368,0.04134,-0.03431,NaN
1989-02-24 09:00:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.05,0.03,0.06,0.06,NaN,0.03956,0.03949,0.03679,0.03084,0,NaN
1989-02-24 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,-0.05,-0.04,-0.04,-0.03,NaN,-0.01981,-0.00495,-0.00739,-0.04164,-0.12099,NaN
1989-03-29 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,-0.07,-0.02,-0.01,-0.03,-0.02,NaN,-0.00397,-0.01483,-0.00736,0.0137,0.08447,NaN
1989-05-17 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,-0.02214,-0.02,-0.01,-0.01,-0.03,NaN,-0.01154,-0.00473,0,0.01584,0.03149,NaN
1989-06-06 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,-0.0125,-0.03,-0.04,-0.05,-0.04,NaN,-0.01879,-0.01824,-0.01317,0.09882,0.21545,NaN
1989-07-07 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,-0.02583,-0.03,-0.04,-0.05,-0.03,NaN,-0.0294,-0.02667,-0.01567,0.27878,0.41364,NaN
1989-07-25 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,-0.03,-0.05,-0.05,-0.03,NaN,-0.02203,-0.00887,-0.00315,0.06848,0.05907,NaN
1989-07-26 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,-0.01,-0.02,-0.01,-0.02,-0.01,NaN,-0.01466,-0.00443,-0.00627,0.10164,0.07418,NaN
1989-07-27 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,-0.01,-0.01,0,-0.02,NaN,0,0.00441,0.00624,0.26775,0.18977,NaN
1989-08-23 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,0,-0.01,-0.02,-0.01,-0.02,NaN,-0.00751,-0.00908,-0.00321,0.09061,-0.04368,NaN
1989-10-04 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,0.03444,0.01,0.01,0,0,NaN,0.0075,0.00453,0.00319,0.07874,0.05565,NaN
1989-10-16 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,-0.20667,0.01,0,0.04,0.03,NaN,0,0.01776,0.01548,0.8095,0.96048,NaN
1989-10-19 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,NaN,0.01,0.01,0.01,0.01,NaN,0,-0.00888,-0.0031,0.01446,0.02871,NaN
1989-11-07 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,-0.10435,-0.07,-0.07,-0.06,-0.05,NaN,-0.04429,-0.03097,-0.0215,0.33369,0.59782,NaN
1989-11-08 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.01,0.01,0,0,NaN,-0.00367,-0.0044,0,0.02072,-0.05885,NaN
1989-11-09 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.04,0.04,0.03,0.02,NaN,0.02567,0.01755,0.01828,-0.16261,-0.30871,NaN
1989-11-15 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,-0.02,0.01,0.01,0.01,0,NaN,0.01098,0.00877,0.00913,-0.04727,-0.10283,NaN
1989-12-20 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,-0.16909,-0.04,-0.03,-0.03,-0.02,NaN,-0.0073,0,0.00302,0.3031,0.15819,NaN
1990-02-08 11:30:00,"FOMC Rate Decision (Scheduled)",-0.01,-0.01,-0.02,-0.02,-0.014,0.01,0.02,0,0.01,NaN,0.01134,0.01382,0.01331,-0.1519,-0.28154,NaN
1990-03-28 11:30:00,"FOMC Rate Decision (Scheduled)",0,0,-0.01,-0.02,0,-0.01,-0.03,-0.03,-0.03,NaN,-0.01142,-0.00464,-0.01007,-0.17591,-0.10154,NaN
1990-05-16 11:30:00,"FOMC Rate Decision (Scheduled)",0,0.01,0,0,0,-0.01,-0.02,-0.01,-0.02,NaN,-0.01145,-0.00938,-0.01028,0.05109,0.25427,NaN
1990-07-05 11:30:00,"FOMC Rate Decision (Scheduled)",0,-0.01,0,-0.02,0,0.01,0.01,0.01,0.01,NaN,0.01129,0.00458,0.00661,-0.00841,-0.04165,NaN
1990-07-13 11:30:00,"FOMC Rate Decision (Unscheduled)",-0.07999,-0.06,-0.08,-0.08,-0.13777,-0.03,-0.04,-0.04,-0.03,NaN,-0.01884,0.00461,0.00334,0.0407,-0.10744,NaN
1990-08-22 11:30:00,"FOMC Rate Decision (Scheduled)",0,0.01,0,0,0,0.01,0,0,0,NaN,-0.00761,-0.00952,-0.01441,0.19733,0.07786,NaN
1990-10-03 11:30:00,"FOMC Rate Decision (Scheduled)",0.01,-0.01,-0.04,-0.00999,0.01107,-0.01,0,-0.01,0,NaN,-0.00753,-0.01407,-0.01058,-0.1207,0,NaN
1990-10-29 11:30:00,"FOMC Rate Decision (Unscheduled)",-0.02,-0.03,-0.01,-0.02,-0.03,0.01,0,0.01,0,NaN,0.00749,0.01398,0.01045,-0.52277,-0.53637,NaN
1990-11-14 11:30:00,"FOMC Rate Decision (Scheduled)",0.01,0.02,0.02,0.01,0.01875,0.01,0.01,-0.01,-0.01,NaN,0.00742,0.00914,0.0067,-0.01568,-0.07803,NaN
1990-11-15 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,NaN,0.01,0,0,-0.02,NaN,0.00371,0,0.0067,-0.1537,-0.20292,NaN
1990-11-16 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,NaN,0,0.01,0.01,0,NaN,0.0037,0.00908,0.00331,-0.17373,-0.40926,NaN
1990-12-07 11:30:00,"FOMC Rate Decision (Unscheduled)",-0.07,-0.01,-0.02,-0.04,-0.09042,-0.03,-0.02,-0.02,-0.03,NaN,-0.01464,-0.00893,-0.0064,0.08546,0.16721,NaN
1990-12-18 15:30:00,"FOMC Rate Decision (Scheduled)",-0.09,-0.19,-0.09,-0.15,-0.21462,-0.14,-0.11,-0.09,0.02,NaN,-0.08395,-0.04886,-0.04126,0.71884,0.95045,NaN
